Timestamp,PT_HE,PT_Purge,PT_Pneu,PT_FUEL_PV,PT_LOX_PV,PT_CHAM,TC_FUEL_PV,TC_LOX_PV,TC_LOX_Valve_Main,TC_WATER_In,TC_WATER_Out,TC_CHAM,FT_Thrust,FL_WATER
1638506677942,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506677970,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506677979,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506677987,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678024,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678097,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506678168,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678241,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506678315,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678389,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678458,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506678532,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678605,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678681,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506678755,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678823,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506678898,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506678971,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679045,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506679114,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506679189,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679263,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506679335,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679405,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679479,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506679553,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679626,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679700,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506679770,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679843,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506679918,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506679990,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506680061,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506680134,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
