Timestamp,PT_HE,PT_Purge,PT_Pneu,PT_FUEL_PV,PT_LOX_PV,PT_CHAM,TC_FUEL_PV,TC_LOX_PV,TC_LOX_Valve_Main,TC_WATER_In,TC_WATER_Out,TC_CHAM,FT_Thrust,FL_WATER
1637620902247,-8,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620902260,-7,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620902277,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620902602,-8,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620902986,-12,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620903373,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620903759,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620904147,-16,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620904532,-13,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620904917,-7,20,30,-37,-5,100,-134,569,130,140,150,300,500,250
1637620905302,-6,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620905687,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620906072,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620906458,-13,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620906842,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620907228,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620907615,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620908001,-14,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620908386,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620908772,-6,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620909157,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620909542,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620909927,-13,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620910311,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620910696,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620911084,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620911471,-12,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620911856,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620912241,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620912625,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620913011,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620913395,-14,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620913780,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620914167,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620914553,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620914941,-13,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620915325,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620915710,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620916095,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620916481,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620916866,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620917250,-17,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620917635,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620918020,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620918413,-12,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620918794,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620919179,-7,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620919564,-9,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620919950,-9,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620920334,-15,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620920718,-17,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620921104,-16,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620921488,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620921878,-13,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620922263,-10,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620922648,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620923033,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620923418,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620923802,-14,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620924188,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620924573,-16,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620924958,-15,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620925347,-14,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620925733,-9,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620926117,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620926502,-7,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620926888,-8,20,30,-38,-5,100,-134,569,130,140,150,300,500,250
1637620927275,-12,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620927657,-17,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620928042,-17,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620928428,-16,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620928817,-15,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620929202,-10,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620929587,-7,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620929972,-8,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620930357,-8,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620930741,-11,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620931127,-16,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620931514,-17,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620931897,-16,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620932281,-16,20,30,-39,-5,100,-134,569,130,140,150,300,500,250
1637620932670,-7,20,30,-26,-4,100,-134,569,130,140,150,300,500,250
1637620933055,-2,20,30,-27,-3,100,-133,569,130,140,150,300,500,250
1637620933441,-3,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620933827,-4,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620934210,-5,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620934596,-11,20,30,-25,-4,100,-133,569,130,140,150,300,500,250
1637620934980,-13,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620935365,-13,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620935751,-12,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620936139,-8,20,30,-25,-4,100,-133,569,130,140,150,300,500,250
1637620936524,-4,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620936910,-4,20,30,-26,-4,100,-133,569,130,140,150,300,500,250
1637620937295,-4,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620937680,-4,20,30,-25,-3,100,-133,569,130,140,150,300,500,250
1637620938066,-10,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620938449,-13,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620938835,-13,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620939220,-13,20,30,-26,-4,100,-133,569,130,140,150,300,500,250
1637620939608,-10,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620939994,-5,20,30,-26,-3,100,-133,569,130,140,150,300,500,250
1637620940379,-3,20,30,-27,-3,100,-133,569,130,140,150,300,500,250
1637620940764,-4,20,30,-27,-3,100,-133,569,130,140,150,300,500,250
